"TextfieldCounter settings", "TextfieldCounter settings"
"charsmin", "Characters min"
"charstargetmin", "Characters target min"
"charstargetmax", "Characters target max"
"charsmax", "Characters max"
"textfieldcounter_save_error", "There was an error saving the data."
